Notes,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate
,2021,2021,"Jan., 2021 ",2021/01,82,Not Applicable,Not Applicable
,2021,2021,"Feb., 2021 ",2021/02,54,Not Applicable,Not Applicable
,2021,2021,"Mar., 2021 ",2021/03,74,Not Applicable,Not Applicable
,2021,2021,"Apr., 2021 ",2021/04,82,Not Applicable,Not Applicable
,2021,2021,"May, 2021 ",2021/05,90,Not Applicable,Not Applicable
,2021,2021,"Jun., 2021 ",2021/06,62,Not Applicable,Not Applicable
,2021,2021,"Jul., 2021 ",2021/07,86,Not Applicable,Not Applicable
,2021,2021,"Aug., 2021 ",2021/08,161,Not Applicable,Not Applicable
,2021,2021,"Sep., 2021 ",2021/09,182,Not Applicable,Not Applicable
,2021,2021,"Oct., 2021 ",2021/10,119,Not Applicable,Not Applicable
,2021,2021,"Nov., 2021 ",2021/11,92,Not Applicable,Not Applicable
,2021,2021,"Dec., 2021 ",2021/12,121,Not Applicable,Not Applicable
