Week_Ending_Date,Race and Ethnicity,Vaccination Coverage Status,Pregnancy Status at Vaccination,Vaccination Coverage Percentage (%),Denominator,Date Order,Race Sort Order,Visual Figure Number,Pregnancy Vaccination Order
01/09/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0,103737,,1,1,2
01/16/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.1,104025,,1,1,2
01/23/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.2,104174,,1,1,2
01/30/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.4,104407,,1,1,2
02/06/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.5,104722,,1,1,2
02/13/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.7,104698,,1,1,2
02/20/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.9,104735,,1,1,2
02/27/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1,104988,,1,1,2
03/06/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.2,105128,,1,1,2
03/13/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.3,105196,,1,1,2
03/20/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.4,105185,,1,1,2
03/27/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.7,105206,,1,1,2
04/03/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.9,105033,,1,1,2
04/10/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.2,105066,,1,1,2
04/17/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.5,105168,,1,1,2
04/24/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.7,105003,,1,1,2
05/01/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3,104981,,1,1,2
05/08/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.4,104974,,1,1,2
05/15/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.7,105007,,1,1,2
05/22/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.9,105087,,1,1,2
