"","Age","Observations","Population","Share ever birthed","Population, ever birthed","TotalPopEverBirthed","Total pop.","ShareEverBirthedAllAges"
"1",18,2889,2046364.16155,0.0428572962343961,87701.635075,90575365.9288677,127283183.736,0.711605125440069
"2",19,2618,1836179.826225,0.0812592676212731,149206.6279,90575365.9288677,127283183.736,0.711605125440069
"3",20,2591,2091380.21695,0.124957665747226,261333.9901,90575365.9288677,127283183.736,0.711605125440069
"4",21,2629,2125393.663625,0.162500760805382,345378.08735,90575365.9288677,127283183.736,0.711605125440069
"5",22,2605,2069844.4885,0.225912395374625,467603.52645,90575365.9288677,127283183.736,0.711605125440069
"6",23,2763,2220271.781825,0.249085731464109,553038.020825,90575365.9288677,127283183.736,0.711605125440069
"7",24,2768,2227350.599075,0.31029717101431,691140.58975,90575365.9288677,127283183.736,0.711605125440069
"8",25,2933,2169951.145125,0.370954353688286,804952.824575,90575365.9288677,127283183.736,0.711605125440069
"9",26,2927,2192961.750725,0.412505659515463,904609.133275,90575365.9288677,127283183.736,0.711605125440069
"10",27,2978,2211337.9793,0.447269237316264,989063.45145,90575365.9288677,127283183.736,0.711605125440069
"11",28,3014,2291348.565025,0.494246559247368,1132491.1443,90575365.9288677,127283183.736,0.711605125440069
"12",29,2974,2291682.809325,0.540680552467014,1239068.327425,90575365.9288677,127283183.736,0.711605125440069
"13",30,3064,2096539.040925,0.593245201041545,1243761.724825,90575365.9288677,127283183.736,0.711605125440069
"14",31,3140,2162211.126875,0.619254394925888,1338958.743075,90575365.9288677,127283183.736,0.711605125440069
"15",32,3121,2112707.99645,0.666997037211408,1409169.974125,90575365.9288677,127283183.736,0.711605125440069
"16",33,3213,2195730.7599,0.715672683474438,1571424.525125,90575365.9288677,127283183.736,0.711605125440069
"17",34,3311,2294880.573175,0.746941769121545,1714142.15525,90575365.9288677,127283183.736,0.711605125440069
"18",35,3260,2143228.9779,0.774597881557973,1660140.625975,90575365.9288677,127283183.736,0.711605125440069
"19",36,3308,2179513.3616,0.789692375841409,1721145.0847,90575365.9288677,127283183.736,0.711605125440069
"20",37,3105,2041022.0296,0.811983755645594,1657276.73295,90575365.9288677,127283183.736,0.711605125440069
"21",38,3062,2035637.17685,0.827666396355145,1684828.48645,90575365.9288677,127283183.736,0.711605125440069
"22",39,3048,2048329.20115,0.814267508373943,1667887.91495,90575365.9288677,127283183.736,0.711605125440069
"23",40,3007,2024575.623125,0.838418378677277,1697441.41145,90575365.9288677,127283183.736,0.711605125440069
"24",41,2971,1958645.9781,0.844901879220825,1654863.667625,90575365.9288677,127283183.736,0.711605125440069
"25",42,2979,2006961.8993,0.852586830956687,1711109.285575,90575365.9288677,127283183.736,0.711605125440069
"26",43,3094,2034008.857125,0.852550473293456,1734095.213825,90575365.9288677,127283183.736,0.711605125440069
"27",44,3033,2041973.88995,0.845269128559848,1726017.4905,90575365.9288677,127283183.736,0.711605125440069
"28",45,3109,2089618.44195,0.845628640222482,1767041.20165,90575365.9288677,127283183.736,0.711605125440069
